player_name,team,opp,position,salary,ownership
Trevon Wesco,NYJ,CLE,TE,2500,0
Vyncint Smith,NYJ,CLE,WR,3000,0
Lawrence Cager,NYJ,CLE,WR,3000,0
La'Mical Perine,NYJ,CLE,RB,4000,2.7
Jalen Hurts,PHI,DAL,QB,7000,18.1
Miles Sanders,PHI,DAL,RB,7000,16.7
Dallas Goedert,PHI,DAL,TE,3600,9.6
Jalen Reagor,PHI,DAL,WR,4600,2.6
Zach Ertz,PHI,DAL,TE,3100,2.9
Greg Ward,PHI,DAL,WR,4000,2
DeSean Jackson,PHI,DAL,WR,3000,0.5
Eagles,PHI,DAL,D,2900,4.39
Alshon Jeffery,PHI,DAL,WR,3200,1.6
Boston Scott,PHI,DAL,RB,4900,0.4
Quez Watkins,PHI,DAL,WR,3000,0
Travis Fulgham,PHI,DAL,WR,3500,0.3
Joshua Perkins,PHI,DAL,TE,2500,0
Richard Rodgers,PHI,DAL,TE,2500,0
JJ Arcega-Whiteside,PHI,DAL,WR,3000,0
John Hightower,PHI,DAL,WR,3000,0
Jason Huntley,PHI,DAL,RB,4000,0
Corey Clement,PHI,DAL,RB,4000,0
Ben Roethlisberger,PIT,IND,QB,6400,2.1
Diontae Johnson,PIT,IND,WR,6300,11.7
JuJu Smith-Schuster,PIT,IND,WR,6000,2.6
James Conner,PIT,IND,RB,5800,1.3
Chase Claypool,PIT,IND,WR,5900,2.3
Eric Ebron,PIT,IND,TE,4200,2.1
James Washington,PIT,IND,WR,3600,1.4
Steelers,PIT,IND,D,3500,4.11
Benny Snell Jr.,PIT,IND,RB,5300,0.9
Ray-Ray McCloud III,PIT,IND,WR,3000,0.2
Jaylen Samuels,PIT,IND,RB,4000,0.5
Vance McDonald,PIT,IND,TE,3200,0
Kevin Rader,PIT,IND,TE,2500,0
Zach Gentry,PIT,IND,TE,2500,0
Derek Watt,PIT,IND,RB,4000,0
Trey Edmunds,PIT,IND,RB,4000,0
Anthony McFarland Jr.,PIT,IND,RB,4100,0
Russell Wilson,SEA,LA,QB,7300,2.8
DK Metcalf,SEA,LA,WR,7800,3.5
Chris Carson,SEA,LA,RB,6400,4.5
Tyler Lockett,SEA,LA,WR,6500,4.5
Carlos Hyde,SEA,LA,RB,5300,0.6
Seahawks,SEA,LA,D,2600,5.95
Will Dissly,SEA,LA,TE,2500,0.3
Jacob Hollister,SEA,LA,TE,2900,0.4
David Moore,SEA,LA,WR,3200,1.9
