sim_ownership,player_name,team,opp,position,salary,ownership,pos,fp,fp_std,created_own,positive_ev
1.5,Kalen Ballage,LAC,DEN,RB,4000,2.0,RB,5.69000002,4.272700812,3.0,-1.5
0.0,Joshua Kelley,LAC,DEN,RB,4000,0.0,RB,4.570082622,3.635266194,0.0,0.0
0.0,Gabe Nabers,LAC,DEN,RB,4000,0.0,RB,0.67,0.0,0.0,0.0
0.0,Justin Jackson,LAC,DEN,RB,4000,0.6,RB,0.0,0.0,1.0,-1.0
6.0,Justin Herbert,LAC,DEN,QB,7400,4.8,QB,23.5661705,9.449663763,3.0,3.0
3.5000000000000004,Chargers,LAC,DEN,D,3300,4.78,D,6.9,3.45,8.0,-4.5
6.0,Cooper Kupp,LA,SEA,WR,6600,5.2,WR,15.72711987,11.40479302,7.000000000000001,-1.0000000000000009
14.000000000000002,Robert Woods,LA,SEA,WR,7000,9.2,WR,15.64357899,10.55473781,9.0,5.000000000000002
0.0,Josh Reynolds,LA,SEA,WR,3200,2.9,WR,3.5,4.02614022,0.0,0.0
0.0,Van Jefferson Jr.,LA,SEA,WR,3000,0.3,WR,2.68,2.456042503,0.0,0.0
0.0,Nsimba Webster,LA,SEA,WR,3000,0.0,WR,0.0,0.0,0.0,0.0
0.0,Trishton Jackson,LA,SEA,WR,3000,0.0,WR,0.0,0.0,0.0,0.0
2.5,Tyler Higbee,LA,SEA,TE,4000,1.4,TE,7.737597616,7.801010908,2.0,0.5
2.5,Gerald Everett,LA,SEA,TE,2800,1.8,TE,6.318451472,5.82081886,2.0,0.5
0.0,Johnny Mundt,LA,SEA,TE,2500,0.0,TE,0.0,0.0,0.0,0.0
0.0,Brycen Hopkins,LA,SEA,TE,2500,0.0,TE,0.0,0.0,0.0,0.0
4.0,Darrell Henderson Jr.,LA,SEA,RB,4500,11.6,RB,12.97545355,8.492762075,4.0,0.0
0.5,Malcolm Brown,LA,SEA,RB,4000,2.6,RB,8.377016554,6.909686094,1.0,-0.5
0.0,Xavier Jones,LA,SEA,RB,4000,0.0,RB,0.0,0.0,0.0,0.0
0.0,Raymond Calais,LA,SEA,RB,4000,0.0,RB,0.0,0.0,0.0,0.0
0.0,Cam Akers,LA,SEA,RB,6300,0.0,RB,0.0,0.0,0.0,0.0
2.5,Jared Goff,LA,SEA,QB,5900,3.5,QB,19.9038798,9.153340117,2.0,0.5
0.5,Rams,LA,SEA,D,3100,3.57,D,5.9,2.95,2.0,-1.5
13.5,Tyreek Hill,KC,ATL,WR,9000,20.9,WR,22.78521654,13.98038624,17.0,-3.5
5.5,Sammy Watkins,KC,ATL,WR,5000,4.0,WR,10.59353984,9.66925244,5.0,0.5
6.0,Mecole Hardman,KC,ATL,WR,3100,5.8,WR,9.293111601,7.06932111,3.0,3.0
1.0,Demarcus Robinson,KC,ATL,WR,3900,1.3,WR,4.32,5.757820607,3.0,-2.0
0.0,Byron Pringle,KC,ATL,WR,3000,0.0,WR,0.0,0.0,0.0,0.0
28.999999999999996,Travis Kelce,KC,ATL,TE,8500,27.6,TE,21.96425679,13.92414061,34.0,-5.0000000000000036
0.0,Nick Keizer,KC,ATL,TE,2500,0.0,TE,0.0,0.0,0.0,0.0
0.0,Deon Yelder,KC,ATL,TE,2500,0.0,TE,0.0,0.0,0.0,0.0
0.0,James Winchester,KC,ATL,TE,2500,0.0,TE,0.0,0.0,0.0,0.0
0.0,Ricky Seals-Jones,KC,ATL,TE,2500,0.0,TE,0.0,0.0,0.0,0.0
22.0,Le'Veon Bell,KC,ATL,RB,5800,22.1,RB,14.97420832,8.372776527,20.0,2.0
1.0,Darrel Williams,KC,ATL,RB,4200,1.7,RB,7.110643252,7.126213192,1.0,0.0
0.0,Darwin Thompson,KC,ATL,RB,4000,0.3,RB,0.0,0.0,0.0,0.0
0.0,Anthony Sherman,KC,ATL,RB,4000,0.0,RB,0.0,0.0,0.0,0.0
0.0,Clyde Edwards-Helaire,KC,ATL,RB,6000,0.0,RB,0.0,0.0,0.0,0.0
19.5,Patrick Mahomes,KC,ATL,QB,8500,17.7,QB,27.35881431,11.79224089,19.0,0.5
5.5,Chiefs,KC,ATL,D,3400,3.87,D,7.1,3.55,5.0,0.5
3.5000000000000004,DJ Chark Jr.,JAC,CHI,WR,4800,3.1,WR,12.20924282,10.05237039,6.0,-2.4999999999999996
0.0,Collin Johnson,JAC,CHI,WR,3000,0.0,WR,6.681048019,5.630733562,0.0,0.0
0.0,Chris Conley,JAC,CHI,WR,3000,1.8,WR,2.94500217,4.34562606,1.0,-1.0
0.0,Laviska Shenault Jr.,JAC,CHI,WR,3700,4.8,WR,0.0,0.0,1.0,-1.0
2.0,Keelan Cole Sr.,JAC,CHI,WR,3500,3.1,WR,0.0,0.0,1.0,1.0
0.0,Dede Westbrook,JAC,CHI,WR,3000,0.0,WR,0.0,0.0,0.0,0.0
2.0,Tyler Eifert,JAC,CHI,TE,3000,1.8,TE,5.94000202,4.648724416,3.0,-1.0
0.0,James O'Shaughnessy,JAC,CHI,TE,2500,0.3,TE,3.89,3.374813326,0.0,0.0
0.0,Ben Ellefson,JAC,CHI,TE,2500,0.0,TE,0.0,0.0,0.0,0.0
0.0,Tyler Davis,JAC,CHI,TE,2500,0.0,TE,0.0,0.0,0.0,0.0
0.0,Eric Saubert,JAC,CHI,TE,2500,0.0,TE,0.0,0.0,0.0,0.0
0.0,Josh Oliver,JAC,CHI,TE,2500,0.0,TE,0.0,0.0,0.0,0.0
0.0,James Robinson,JAC,CHI,RB,6800,0.0,RB,12.90922381,8.941668037,0.0,0.0
1.5,Dare Ogunbowale,JAC,CHI,RB,4000,3.2,RB,7.661811763,7.324893939,3.0,-1.5
3.5000000000000004,Devine Ozigbo,JAC,CHI,RB,4000,3.1,RB,7.13,7.133190755,5.0,-1.4999999999999996
0.0,Chris Thompson,JAC,CHI,RB,4000,0.0,RB,1.55,2.597562771,0.0,0.0
0.0,Nathan Cottrell,JAC,CHI,RB,4000,0.0,RB,0.0,0.0,0.0,0.0
0.0,Ryquell Armstead,JAC,CHI,RB,4000,0.0,RB,0.0,0.0,0.0,0.0
2.0,Gardner Minshew II,JAC,CHI,QB,5200,2.8,QB,17.51725143,7.388813111,3.0,-1.0
0.5,Mike Glennon,JAC,CHI,QB,4800,2.2,QB,14.71392536,8.292191873,1.0,-0.5
0.0,Jaguars,JAC,CHI,D,2200,3.31,D,4.3,2.15,0.0,0.0
4.0,T.Y. Hilton,IND,PIT,WR,5500,3.3,WR,13.607704,8.904013526,4.0,0.0
4.5,Michael Pittman Jr.,IND,PIT,WR,4200,2.6,WR,9.457411238,8.232290565,7.000000000000001,-2.500000000000001
1.5,Zach Pascal,IND,PIT,WR,3800,1.9,WR,9.374363391,7.632368352,2.0,-0.5
0.0,DeMichael Harris,IND,PIT,WR,3000,0.0,WR,0.0,0.0,0.0,0.0
0.0,Parris Campbell,IND,PIT,WR,3000,0.0,WR,0.0,0.0,0.0,0.0
